;MELHOR GLOBAL;MELHOR LOCAL
326;124335.4468502458;124335.4468502458
327;125984.57417049388;125984.57417049388
328;121120.21605374147;121120.21605374147
329;119845.29378317263;119845.29378317263
330;117593.46062294253;117593.46062294253
331;126433.0499368931;126433.0499368931
332;124877.58842318888;124877.58842318888
333;123921.94158076863;123921.94158076863
334;133950.7400489019;133950.7400489019
335;133367.20749169725;133367.20749169725
336;138619.16108765913;138619.16108765913
337;147059.03056985664;147059.03056985664
338;147234.13496460154;147234.13496460154
339;148267.6212177473;148267.6212177473
340;148252.0191001694;148252.0191001694
341;146351.740274577;146351.740274577
342;153769.96125512244;153769.96125512244
343;149076.10316094005;149076.10316094005
344;152553.2380577719;152553.2380577719
345;153633.02131522348;153633.02131522348
346;159959.28460977823;159959.28460977823
347;159279.65042541665;159279.65042541665
348;156545.285989509;156545.285989509
349;153709.55698673156;153709.55698673156
350;153199.33482166505;153199.33482166505
351;155498.92142193994;155498.92142193994
352;154952.21023891232;154952.21023891232
353;155614.5876240705;155614.5876240705
354;154700.0255285234;154700.0255285234
355;152819.6452722387;152819.6452722387
356;151585.55342548699;151585.55342548699
357;147913.06682831055;147913.06682831055
358;154529.41247594458;154529.41247594458
359;158064.15595539135;158064.15595539135
360;150748.19982485904;150748.19982485904
361;154404.4514837176;154404.4514837176
362;150160.7001740585;150160.7001740585
363;149508.13387062258;149508.13387062258
364;147553.264361643;147553.264361643
365;146333.4907963289;146333.4907963289
366;144411.86123687663;144411.86123687663
367;139113.56655713834;139113.56655713834
368;135588.96590288592;135588.96590288592
369;136548.73555358208;136548.73555358208
370;133120.60666758407;133120.60666758407
371;132507.61104588443;132507.61104588443
372;131316.82485366715;131316.82485366715
373;128320.60997434295;128320.60997434295
374;130755.0098137532;130755.0098137532
375;133148.31221763295;133148.31221763295
376;131936.48323205928;131936.48323205928
377;130778.51051489594;130778.51051489594
378;134290.93764924398;134290.93764924398
379;132988.71475350263;132988.71475350263
380;135038.00323269446;135038.00323269446
381;133516.73653209742;133516.73653209742
382;133816.11188958792;133816.11188958792
383;132599.8682295646;132599.8682295646
384;130040.8894230694;130040.8894230694
