;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
40;1860.2887478211085;2274.1344871565016;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
41;1860.2887478211085;2079.302697785055;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
42;1860.2887478211085;2135.292850017045;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
43;1860.2887478211085;1953.0128687504243;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
44;1860.2887478211085;2187.673730671609;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
45;1860.2887478211085;1950.6938873466713;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
46;1860.2887478211085;1986.8049202063846;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
47;1860.2887478211085;2275.0900301177144;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
48;1860.2887478211085;2576.8624243326435;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
49;1860.2887478211085;2298.976681835995;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
